Qty,Reference(s),Value,LCSC part number,Part number
2,"C1, C12",100p,C343033,C1608NP01H101JT000N
4,"C2, C4, C13, C15",47p,C445755,C1608C0G1H470JT000N
2,"C3, C14",22u,N/A,UES1V220MPM1TA
4,"C5, C6, C16, C17",10u,C2922482,CL10A106MA8NRNC
2,"C7, C18",220u,C128533,EEEFK1C221XP
14,"C8, C9, C10, C11, C19, C20, C21, C22, C27, C28, C29, C30, C31, C35",1u,C15849,CL10A105KB8NNNC
4,"C23, C24, C25, C26",470u,C193277,EEEFT1E471GP
5,"C32, C33, C34, C36, C37",47u,C76659,C3216X5R1E476MTJ00E
1,C38,100n,C2926846,PHE820ED6100MR06L2
2,"D1, D2",18V,C135149,SMCJ18CA-13-F
2,"D3, D4",0.55Vf,C134460,B520C-13-F
1,D5,LED,C2927624,204-10SUGC/S400-A5
4,"D6, D7, D9, D10",D,C81598,1N4148W
1,D8,24V,C118720,MM1Z5252B
2,"F1, F2",200mA,C58066,31.8201
1,J3,HPOut,C368502,NMJ6HCD2
1,J4,AC_In,C160316,B3P-VH(LF)(SN)
1,K1,C93402,C128021,C93402
4,"L3, L4, L5, L6",100u,C2045491,SPM7054VT-101M-D
2,"PS1, PS2",RAC10-18SK,N/A,RAC10-18SK
2,"Q1, Q4",BC847C,C8664,"BC847C,215"
3,"Q7, Q9, Q11",BC850C,C80071,"BC850C,215"
2,"Q2, Q5",KTC4370A,C125308,KTC4370A-Y-U/PF
2,"Q3, Q6",KTA1659A,C69800,KTA1659A-Y-U/PF
2,"Q8, Q12",BC860C,C454976,"BC860C,215"
1,Q10,AO3400A,C20917,AO3400A
12,"R1, R6, R7, R8, R10, R14, R27, R32, R33, R34, R36, R40",2.2k,,RT1206BRD072K2L
2,"R2, R28",12k,,RT1206FRE0712KL
2,"R3, R29",2.7k,C870633,RT1206BRD072K7L
4,"R4, R9, R30, R35",121,C136881,RT1206DRD07121RL
10,"R5, R11, R12, R31, R37, R38, R53, R66, R67, R73",4.7k,,RT1206DRD074K7L
2,"R13, R39",560,,RT1206BRD07560RL
16,"R15, R16, R17, R18, R19, R20, R21, R22, R41, R42, R43, R44, R45, R46, R47, R48",1,C513714,RT1206BRD071RL
8,"R23, R24, R25, R26, R49, R50, R51, R52",3,C326707,RT1206FRD073RL
8,"R54, R55, R56, R57, R58, R59, R60, R61",4.99,C326584,RT1206BRD074R99L
4,"R62, R63, R71, R72",10k,C705072,RT1206FRD0710KL
1,R64,1M,C375528,RT1206FRE071ML
1,R65,100k,C326828,RT1206FRD07100KL
3,"R68, R74, R75",1k,C706405,RT1206BRD071KL
2,"R69, R70",392k,,RT1206BRD07392KL
1,RV1,10k,C470507,RK27112A00AK
1,RV2,500k,C125021,3362P-1-504
1,RV3,1k,C123431,3266W-1-102
2,"U1, U2",OPA1656,C1849431,OPA1656IDR
1,U3,TL082,C190361,TL082BCDT
